,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.7392307692307692,0.805668274019222,0.7665198237885462,0.8456865127582017,0.804159445407279,0.4213855217973142
Decision Tree,0.7653846153846153,0.7485996163751272,0.8166259168704156,0.8116646415552855,0.8141377209018891,0.4961230283273034
K-Nearest Neighbor,0.7407692307692307,0.8003711430543774,0.7780320366132724,0.8262454434993924,0.8014142604596346,0.43079306407068324
Naive Bayes,0.683076923076923,0.7445277414786114,0.7179215270413574,0.8226002430133658,0.766704416761042,0.2861081375716036
Random Forest,0.8361538461538461,0.9047051361409782,0.8538283062645011,0.8942891859052248,0.8735905044510386,0.6425460472869458
XGBoost,0.8284615384615385,0.8825231614153873,0.8512880562060889,0.8833535844471446,0.8670244484197973,0.626502279776591
